Record_ID,Car_Model,Model_Year,Mileage_KM,Fault_Category,Fault_Type,Fault_Code,Fault_Name,Severity,Parts_Availability,Garage_Type,Mechanic_Expertise,Day_of_Week,Time_of_Day,Actual_Repair_Hours,Repair_Cost_LKR,PartsRequired_Names
1,Toyota Corolla,2011,106305,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,In Stock,Local,Senior,Weekend,Afternoon,1.05,5000,"Gearbox Mount, Clutch Plate"
2,Nissan Sunny,2017,119955,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,High,In Stock,Authorized,Senior,Weekend,Morning,6.02,27200,"Battery, Starter Motor"
3,Suzuki WagonR,2017,153406,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,Low,In Stock,Authorized,Expert,Weekday,Evening,2.58,14400,"Alternator, Battery"
4,Honda Fit,2020,166565,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,High,In Stock,Local,Expert,Weekend,Afternoon,6.18,34700,"Alternator, Battery"
5,Toyota Prius,2011,140270,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,High,In Stock,Authorized,Junior,Weekend,Evening,7.2,29100,"Gearbox Mount, Transmission Fluid Filter"
6,Toyota Prius,2015,55666,Electrical,Battery Drain,ELE-926,Battery Drain Issue,High,In Stock,Authorized,Senior,Weekday,Evening,5.78,25800,"Alternator, Starter Motor"
7,Toyota Corolla,2016,20503,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,High,Order Required,Local,Senior,Weekday,Evening,6.93,38300,"Starter Motor, Wiring Harness"
8,Honda Civic,2010,85348,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,High,Order Required,Authorized,Senior,Weekday,Afternoon,7.41,30000,"Clutch Plate, Transmission Fluid Filter"
9,Toyota Corolla,2017,103266,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,High,Order Required,Local,Expert,Weekday,Morning,6.06,21500,"Clutch Plate, Transmission Fluid Filter"
10,Honda Fit,2015,166230,Brake,ABS Fault,BRA-102,ABS Fault Issue,Medium,Order Required,Local,Expert,Weekend,Afternoon,4.43,22200,"Brake Fluid Hose, Brake Caliper"
11,Toyota Prius,2012,74364,Engine,Overheating,ENG-450,Overheating Issue,Low,Order Required,Local,Expert,Weekday,Evening,2.93,12700,"Fuel Injector, Timing Belt"
12,Suzuki Alto,2019,89829,Suspension,Steering Issue,SUS-930,Steering Issue Issue,Low,Order Required,Authorized,Junior,Weekend,Morning,2.18,8700,"Ball Joint, Control Arm"
13,Honda Civic,2008,32111,Engine,Overheating,ENG-450,Overheating Issue,Medium,Order Required,Authorized,Expert,Weekend,Evening,3.51,14800,"Piston Ring, Spark Plug"
14,Toyota Corolla,2008,84723,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Medium,In Stock,Local,Expert,Weekend,Evening,4.47,26000,"Brake Disc, Brake Pad"
15,Toyota Corolla,2009,74281,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,Medium,In Stock,Authorized,Expert,Weekday,Evening,4.14,19200,"Strut Mount, Shock Absorber"
16,Nissan Sunny,2021,168734,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,High,In Stock,Local,Senior,Weekend,Afternoon,6.0,27300,"Starter Motor, Fuse"
17,Suzuki Alto,2010,77497,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,Order Required,Local,Senior,Weekday,Evening,2.4,13900,"Brake Caliper, Brake Pad"
18,Honda Civic,2021,131314,Suspension,Steering Issue,SUS-930,Steering Issue Issue,High,In Stock,Authorized,Senior,Weekday,Evening,5.86,23900,"Ball Joint, Control Arm"
19,Toyota Prius,2013,106519,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,High,Order Required,Local,Junior,Weekday,Afternoon,7.13,34600,"Strut Mount, Control Arm"
20,Toyota Prius,2022,27427,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Medium,In Stock,Local,Junior,Weekend,Evening,4.88,22400,"Transmission Fluid Filter, Clutch Plate"
21,Toyota Corolla,2018,73361,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,High,Order Required,Local,Senior,Weekday,Evening,6.38,33300,"Control Arm, Ball Joint"
22,Suzuki WagonR,2013,120200,Electrical,Battery Drain,ELE-926,Battery Drain Issue,High,Order Required,Local,Senior,Weekend,Afternoon,6.01,31000,"Fuse, Wiring Harness"
23,Honda Fit,2011,69301,Engine,Oil Leak,ENG-170,Oil Leak Issue,Low,In Stock,Authorized,Senior,Weekday,Evening,1.28,5600,"Spark Plug, Timing Belt"
24,Suzuki Alto,2014,139153,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,High,Order Required,Authorized,Senior,Weekend,Afternoon,7.12,33200,"Battery, Starter Motor"
25,Toyota Corolla,2010,178800,Transmission,Gear Slip,TRA-571,Gear Slip Issue,High,Order Required,Authorized,Junior,Weekend,Morning,6.2,37100,"Clutch Plate, Gearbox Mount"
26,Honda Civic,2015,82128,Transmission,Gear Slip,TRA-571,Gear Slip Issue,High,In Stock,Authorized,Senior,Weekend,Morning,6.44,35800,"Gearbox Mount, Transmission Fluid Filter"
27,Suzuki WagonR,2017,21400,Engine,Overheating,ENG-450,Overheating Issue,High,Order Required,Authorized,Senior,Weekday,Afternoon,5.57,22000,"Spark Plug, Timing Belt"
28,Suzuki Alto,2015,114308,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Medium,Order Required,Local,Junior,Weekday,Morning,3.93,23400,"Brake Fluid Hose, Brake Caliper"
29,Nissan Sunny,2008,32185,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,Low,Order Required,Local,Senior,Weekend,Evening,1.13,4600,"Shock Absorber, Strut Mount"
30,Toyota Corolla,2016,145162,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Low,In Stock,Authorized,Expert,Weekday,Evening,1.68,8700,"Alternator, Wiring Harness"
31,Suzuki Alto,2015,46810,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,High,Order Required,Local,Junior,Weekend,Evening,7.28,39600,"Strut Mount, Shock Absorber"
32,Honda Fit,2011,176963,Engine,Misfire,ENG-847,Misfire Issue,Medium,In Stock,Authorized,Expert,Weekend,Afternoon,4.38,19900,"Spark Plug, Fuel Injector"
33,Suzuki Alto,2016,170166,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,High,Order Required,Local,Junior,Weekend,Morning,6.39,34100,"Brake Caliper, Brake Disc"
